latitude,longitude
-10.0,30.0
-10.0,30.25
-10.0,30.5
-10.0,30.75
-10.0,31.0
-10.0,31.25
-10.0,31.5
-10.0,31.75
-10.0,32.0
-10.0,32.25
-10.0,32.5
-10.0,32.75
-10.0,33.0
-10.0,33.25
-10.0,33.5
-10.0,33.75
-10.0,34.0
-10.0,34.25
-10.0,34.5
-10.0,34.75
-10.0,35.0
-10.0,35.25
-10.0,35.5
-10.0,35.75
-10.0,36.0
-10.0,36.25
-10.0,36.5
-10.0,36.75
-10.0,37.0
-10.0,37.25
-10.0,37.5
-10.0,37.75
-10.0,38.0
-10.0,38.25
-10.0,38.5
-10.0,38.75
-10.0,39.0
-10.0,39.25
-10.0,39.5
-10.0,39.75
-10.0,40.0
-9.75,30.0
-9.75,30.25
-9.75,30.5
-9.75,30.75
-9.75,31.0
-9.75,31.25
-9.75,31.5
-9.75,31.75
-9.75,32.0
-9.75,32.25
-9.75,32.5
-9.75,32.75
-9.75,33.0
-9.75,33.25
-9.75,33.5
-9.75,33.75
-9.75,34.0
-9.75,34.25
-9.75,34.5
-9.75,34.75
-9.75,35.0
-9.75,35.25
-9.75,35.5
-9.75,35.75
-9.75,36.0
-9.75,36.25
-9.75,36.5
-9.75,36.75
-9.75,37.0
-9.75,37.25
-9.75,37.5
-9.75,37.75
-9.75,38.0
-9.75,38.25
-9.75,38.5
-9.75,38.75
-9.75,39.0
-9.75,39.25
-9.75,39.5
-9.75,39.75
-9.75,40.0
-9.5,30.0
-9.5,30.25
-9.5,30.5
-9.5,30.75
-9.5,31.0
-9.5,31.25
-9.5,31.5
-9.5,31.75
-9.5,32.0
-9.5,32.25
-9.5,32.5
-9.5,32.75
-9.5,33.0
-9.5,33.25
-9.5,33.5
-9.5,33.75
-9.5,34.0
-9.5,34.25
-9.5,34.5
-9.5,34.75
-9.5,35.0
-9.5,35.25
-9.5,35.5
-9.5,35.75
-9.5,36.0
-9.5,36.25
-9.5,36.5
-9.5,36.75
-9.5,37.0
-9.5,37.25
-9.5,37.5
-9.5,37.75
-9.5,38.0
-9.5,38.25
-9.5,38.5
-9.5,38.75
-9.5,39.0
-9.5,39.25
-9.5,39.5
-9.5,39.75
-9.5,40.0
-9.25,30.0
-9.25,30.25
-9.25,30.5
-9.25,30.75
-9.25,31.0
-9.25,31.25
-9.25,31.5
-9.25,31.75
-9.25,32.0
-9.25,32.25
-9.25,32.5
-9.25,32.75
-9.25,33.0
-9.25,33.25
-9.25,33.5
-9.25,33.75
-9.25,34.0
-9.25,34.25
-9.25,34.5
-9.25,34.75
-9.25,35.0
-9.25,35.25
-9.25,35.5
-9.25,35.75
-9.25,36.0
-9.25,36.25
-9.25,36.5
-9.25,36.75
-9.25,37.0
-9.25,37.25
-9.25,37.5
-9.25,37.75
-9.25,38.0
-9.25,38.25
-9.25,38.5
-9.25,38.75
-9.25,39.0
-9.25,39.25
-9.25,39.5
-9.25,39.75
-9.25,40.0
-9.0,30.0
-9.0,30.25
-9.0,30.5
-9.0,30.75
-9.0,31.0
-9.0,31.25
-9.0,31.5
-9.0,31.75
-9.0,32.0
-9.0,32.25
-9.0,32.5
-9.0,32.75
-9.0,33.0
-9.0,33.25
-9.0,33.5
-9.0,33.75
-9.0,34.0
-9.0,34.25
-9.0,34.5
-9.0,34.75
-9.0,35.0
-9.0,35.25
-9.0,35.5
-9.0,35.75
-9.0,36.0
-9.0,36.25
-9.0,36.5
-9.0,36.75
-9.0,37.0
-9.0,37.25
-9.0,37.5
-9.0,37.75
-9.0,38.0
-9.0,38.25
-9.0,38.5
-9.0,38.75
-9.0,39.0
-9.0,39.25
-9.0,39.5
-9.0,39.75
-9.0,40.0
-8.75,30.0
-8.75,30.25
-8.75,30.5
-8.75,30.75
-8.75,31.0
-8.75,31.25
-8.75,31.5
-8.75,31.75
-8.75,32.0
-8.75,32.25
-8.75,32.5
-8.75,32.75
-8.75,33.0
-8.75,33.25
-8.75,33.5
-8.75,33.75
-8.75,34.0
-8.75,34.25
-8.75,34.5
-8.75,34.75
-8.75,35.0
-8.75,35.25
-8.75,35.5
-8.75,35.75
-8.75,36.0
-8.75,36.25
-8.75,36.5
-8.75,36.75
-8.75,37.0
-8.75,37.25
-8.75,37.5
-8.75,37.75
-8.75,38.0
-8.75,38.25
-8.75,38.5
-8.75,38.75
-8.75,39.0
-8.75,39.25
-8.75,39.5
-8.75,39.75
-8.75,40.0
-8.5,30.0
-8.5,30.25
-8.5,30.5
-8.5,30.75
-8.5,31.0
-8.5,31.25
-8.5,31.5
-8.5,31.75
-8.5,32.0
-8.5,32.25
-8.5,32.5
-8.5,32.75
-8.5,33.0
-8.5,33.25
-8.5,33.5
-8.5,33.75
-8.5,34.0
-8.5,34.25
-8.5,34.5
-8.5,34.75
-8.5,35.0
-8.5,35.25
-8.5,35.5
-8.5,35.75
-8.5,36.0
-8.5,36.25
-8.5,36.5
-8.5,36.75
-8.5,37.0
-8.5,37.25
-8.5,37.5
-8.5,37.75
-8.5,38.0
-8.5,38.25
-8.5,38.5
-8.5,38.75
-8.5,39.0
-8.5,39.25
-8.5,39.5
-8.5,39.75
-8.5,40.0
-8.25,30.0
-8.25,30.25
-8.25,30.5
-8.25,30.75
-8.25,31.0
-8.25,31.25
-8.25,31.5
-8.25,31.75
-8.25,32.0
-8.25,32.25
-8.25,32.5
-8.25,32.75
-8.25,33.0
-8.25,33.25
-8.25,33.5
-8.25,33.75
-8.25,34.0
-8.25,34.25
-8.25,34.5
-8.25,34.75
-8.25,35.0
-8.25,35.25
-8.25,35.5
-8.25,35.75
-8.25,36.0
-8.25,36.25
-8.25,36.5
-8.25,36.75
-8.25,37.0
-8.25,37.25
-8.25,37.5
-8.25,37.75
-8.25,38.0
-8.25,38.25
-8.25,38.5
-8.25,38.75
-8.25,39.0
-8.25,39.25
-8.25,39.5
-8.25,39.75
-8.25,40.0
-8.0,30.0
-8.0,30.25
-8.0,30.5
-8.0,30.75
-8.0,31.0
-8.0,31.25
-8.0,31.5
-8.0,31.75
-8.0,32.0
-8.0,32.25
-8.0,32.5
-8.0,32.75
-8.0,33.0
-8.0,33.25
-8.0,33.5
-8.0,33.75
-8.0,34.0
-8.0,34.25
-8.0,34.5
-8.0,34.75
-8.0,35.0
-8.0,35.25
-8.0,35.5
-8.0,35.75
-8.0,36.0
-8.0,36.25
-8.0,36.5
-8.0,36.75
